无锡市安民康复医院	无锡安民康复医院
三明市第二医院	三明市第二医院
永安市第三医院	
永安市第六医院(原:福建纺织化纤集团职工医院)	
永安市第四医院	
永安市妇幼保健院	
永安市第六医院	
沙县医院	沙县医院
沙县中医院	
沙县妇幼保健院	
泰宁县中医院	
泰宁县医院	
泰宁县妇幼保健院	
清流县中医院	
清流县医院	
清流县医院灵地分院	
清流县妇幼保健所	
清流县妇幼保健院	
尤溪县医院	尤溪县医院
尤溪县中医院	尤溪县中医院
尤溪县妇幼保健院	
义马煤业集团杨村矿医院	
义马煤业集团北露天医院	
义马煤业集团跃进矿医院	
义马煤业集团耿村矿医院	
义马煤业集团机关医院	
义马煤业集团千秋矿医院	
义马市中西医结合医院	
义马市疾控中心妇幼保健站	
义马煤业集团总医院	
义马市人民医院	义马市人民医院
卢氏县中医院	卢氏县中医院
卢氏县人民医院	卢氏县人民医院
卢氏县妇幼保健院	卢氏县妇幼保健院
卢氏县公疗医院	
卢氏县第二人民医院	
义马煤业集团宜洛煤矿医院	
渑池县胆结石专科医院(民营)	
三门峡市肝胆结石病研究所(民营)	
渑池县人民医院	
渑池县中医院	渑池县中医院
渑池县妇幼保健院	渑池县妇幼保健院
三门峡武强颈肩腰腿疼医院(民营)	
三门峡红十字妇科医院三门峡汇方医院(民营)	
三门峡化工机械厂职工医院	
三门峡市中医院	
三门峡市湖滨区人民医院	三门峡市湖滨区人民医院
三门峡市精神卫生中心〓三门峡市康复医院	
三门峡市第二人民医院三门峡市传染病医院	
三门峡市中心医院	三门峡市中心医院
黄河三门峡医院(原:中国水利水电第十一工程局职工医院)	黄河三门峡医院(原:中国水利水电第十一工程局职工医院)
三门峡市湖滨区妇幼保健所	三门峡市湖滨区妇幼保健所
三门峡市疾控中心妇幼保健所	
灵宝市黄金公司职工医院	
秦岭金矿职工医院	
灵宝市华侨医院	
灵宝市福寿堂眼科医院(民营)	
灵宝市商业局职工医院	
灵宝市痔瘘医院(民营)	
灵宝市中医院	
灵宝市第一人民医院	灵宝市第一人民医院
灵宝市第二人民医院(原:灵宝市公疗医院)	
灵宝市第三人民医院(原:灵宝市尹庄镇中心卫生院)	
灵宝市妇幼保健院	
三门峡市陕州区中心人民医院	
三门峡市第三人民医院(原:三门峡西铁路医院)	
三门峡市陕州区妇幼保健院	
上海市卢湾区精神卫生中心	
上海市香山中医院	
上海市卢湾区妇幼保健院上海市中德医院	
上海交通大学医学院附属瑞金医院卢湾分院(原:上海市卢湾区中心医院)	上海交通大学医学院附属瑞金医院卢湾分院(原:上海市卢湾区中心医院)
上海市卢湾区东南医院	上海市卢湾区东南医院
上海交通大学医学院附属瑞金医院	上海交通大学医学院附属瑞金医院
上海市卢湾区顺昌地段医院	
上海市卢湾区淮海中路地段医院	
上海市打浦桥地段医院	
上海市卢湾区瑞金二路地段医院	
上海爱丽姿医疗美容医院(民营)	
上海欣安医院(民营)	
上海嘉园医院(民营)	
上海肤康医院(民营)	
上海海鹤医院(民营)	
上海沪西医院(民营)	
上海安国医院(民营)	安国市医院
上海颐康中医院(民营)	
上海曹安医院(民营)	
上海嘉华医院(民营)	
上海中亚医院(民营)	
上海海华医院(民营)	
上海市嘉定区肺科医院	
上海同翔医院(民营)	
上海市嘉定区菊园新区社区卫生服务中心	
上海市嘉定区迎园医院	
上海市嘉定区牙病防治所	
上海市嘉定区安亭医院	
上海市嘉定区妇幼保健院	上海市嘉定区妇幼保健院
上海市嘉定区中医院	上海市嘉定区中医院
上海交通大学医学院附属仁济医院嘉定分院上海市嘉定区中心医院	上海交通大学医学院附属仁济医院嘉定分院上海市嘉定区中心医院
上海市嘉定区南翔医院	上海市嘉定区南翔医院
上海市嘉定区精神卫生中心	
上海交通大学医学院附属瑞金医院北院	
上海市嘉定区工业区社区卫生服务中心	
上海市嘉定区江桥镇社区卫生服务中心	
上海市嘉定区南翔镇社区卫生服务中心	
上海市嘉定区黄渡镇社区卫生服务中心	
上海市嘉定区华亭镇社区卫生服务中心	
上海市嘉定区安亭社区卫生服务中心	
上海市嘉定区金沙新城社区卫生服务中心	
上海市嘉定区马陆镇社区卫生服务中心	
上海市嘉定区嘉定镇街道社区卫生服务中心	
上海市嘉定区外冈镇社区卫生服务中心	
上海市嘉定区徐行镇社区卫生服务中心	
上海市嘉定区真新社区卫生服务中心	
上海市嘉定区中心医院	上海交通大学医学院附属仁济医院嘉定分院上海市嘉定区中心医院
上海市奉贤红十字护理医院	
上海市星火农场职工医院	
上海市奉贤区奉城医院〓上海交通大学医学院附属第九人民医院奉城分院	上海市奉贤区奉城医院上海交通大学医学院附属第九人民医院奉城分院
上海市奉贤区传染病医院〓上海市奉贤区古华医院〓上海市奉贤区老年医院	
上海中医药大学龙华医院奉贤分院(原:上海市奉贤区中医院)	上海中医药大学附属龙华医院奉贤分院
上海市燎原农场职工医院	
上海市奉贤区妇幼保健所	
上海市奉贤区精神卫生中心〓上海市奉贤区海湾医院	
上海市第六人民医院奉贤分院〓上海市奉贤区中心医院	上海市第六人民医院奉贤分院上海市奉贤区中心医院
上海市闸北区宝山地段医院	
上海市公安局康复医院	
上海市宝山区老年护理院	
上海市宝山区同济路社区卫生服务中心	
上海市吴淞地段医院〓上海市宝山区吴淞街道社区卫生服务中心	
上海市第一人民医院宝山分院上海市宝山区吴淞中心医院	上海市第一人民医院宝山分院(原:上海市宝山区吴淞中心医院)
上海宝钢冶金建设公司职工医院上海中冶医院	
复旦大学附属华山医院宝山分院(原:上海市宝山仁和医院)	
上海市大场医院	上海市大场医院
上海市宝山区罗店医院	上海市宝山区罗店医院
上海市宝山区精神卫生中心	
上海市宝山区妇幼保健所	
上海市宝山区中医院	
上海第一钢铁厂职工医院上海市宝山区一钢医院	
上海市中冶集团职工医院	上海市中冶集团职工医院
复旦大学附属华山医院北院	复旦大学附属华山医院北院
上海交通大学医学院附属第三人民医院(原:上海第二医科大学附属宝钢医院)	
上海市宝山区中西医结合医院〓上海中医药大学附属曙光医院宝山分院〓上海市宝山区中心医院	上海宝山区中西医结合医院 上海中医药大学附属曙光医院宝山分院
上海市宝山区友谊路地段医院〓上海市宝山区友谊社区卫生服务中心	
上海市宝山区高境社区卫生服务中心	
上海市宝山区泗塘社区卫生服务中心	
上海市宝山区罗店社区卫生服务中心	
上海市宝山区罗泾社区卫生服务中心	
上海市宝山区祁连地段医院上海市宝山区祁连社区卫生服务中心	
上海市宝山区淞南镇社区卫生服务中心	
上海市宝山区顾村镇社区卫生服务中心	
上海市宝山区长江路地段医院〓上海市宝山区长江路社区卫生服务中心	
上海市宝山区大场社区卫生服务中心	
上海市宝山区杨行社区卫生服务中心	
上海市宝山区月浦地段医院〓上海市宝山区月浦镇社区卫生服务中心	
上海市宝山区盛桥地段医院上海市宝山区月浦镇盛桥社区卫生服务中心	
上海市宝山区庙行社区卫生服务中心	
上海市崇明区堡镇人民医院	
上海市崇明区传染病医院	
上海市崇明区妇幼保健院	
上海市崇明区精神卫生中心	
上海市崇明区庙镇人民医院	
上海市崇明区康乐医院	
上海交通大学医学院附属新华医院崇明分院(原:崇明县中心医院)	上海交通大学医学院附属新华医院（崇明）(原:崇明县中心医院)
上海市新海农场职工医院	
上海市长江农场职工医院	
上海沪静口腔门诊部(民营)	
上海德诚会口腔门诊部(民营)	
上海雷允上西区金威门诊部(民营)	
中美合作华山眼科中心(中外合资)	
上海港华医院(民营)	
上海布康门诊部(民营)	
复旦大学附属肿瘤医院闵行分院	
上海警备区七三一七六部队医院	
上海市梅园地段医院	
复旦大学附属妇产科医院杨浦院区	
上海丽都口腔门诊部(民营)	
上海华顺医院(民营)	
上海华侨医疗门诊部(民营)	
上海雅嘉口腔门诊部(民营)	
上海答康门诊部(民营)	
上海梅奥心理健康咨询门诊部(民营)	
上海计生所医院(原:上海博康生殖医学医院)	
上海新闸门诊部(民营)	
上海仁爱医院(民营)	
上海市徐汇区逸仙医院	
上海轻工职工医院上海博爱医院(民营)	上海轻工职工医院上海博爱医院(民营)
上海市徐汇区华泾镇红十字地段医院	
上海市体育医院	
上海银河医院(民营)	
上海远大心胸医院(民营)	
上海沪申五官科医院(民营)	
上海申大齿科医院(民营)	
上海文艺医院	
复旦大学附属华山医院伽马医院(中外合资)	
上海市徐汇区生殖医学医院(民营)	
上海美加净口腔门诊部(民营)	
上海锦晖门诊部(民营)	
上海市徐汇区精神卫生中心〓上海市龙华地段医院	
上海市第八人民医院	上海市第八人民医院
上海市徐汇区中心医院	上海市徐汇区中心医院
上海市徐汇区牙防所	
上海远洋医院上海交通大学医学院附属瑞金医院远洋分院	
上海市徐汇区大华医院	上海市徐汇区大华医院
上海市徐汇区日晖地段医院	
上海市徐汇区宛平地段医院	
复旦大学附属妇产科医院上海市红房子妇产科医院	复旦大学附属妇产医院上海市红房子妇产科医院
复旦大学附属眼耳鼻喉科医院上海市五官科医院	复旦大学附属眼耳鼻喉科医院上海市五官科医院
复旦大学附属儿科医院上海市红十字儿科医院	复旦大学附属儿科医院
上海市胸科医院〓上海交通大学医学院附属胸科医院上海市红十字胸科医院	上海市胸科医院上海交通大学医学院附属胸科医院上海市红十字胸科医院
上海中医药大学附属龙华医院	上海中医药大学附属龙华医院
复旦大学附属华山医院	复旦大学附属华山医院
上海市光华中西医结合医院	
复旦大学附属肿瘤医院上海市肿瘤医院上海市红十字肿瘤医院	
复旦大学附属中山医院	复旦大学附属中山医院
上海交通大学医学院附属国际和平妇幼保健院中国福利会国际和平妇幼保健院	上海交通大学医学院附属国际和平妇幼保健院中国福利会国际和平妇幼保健院
上海市肺科医院同济大学附属肺科医院上海市职业病医院	上海市肺科医院同济大学附属肺科医院上海市职业病医院
上海市第六人民医院上海交通大学医学院附属第六人民医院	上海市第六人民医院上海交通大学医学院附属第六人民医院
上海市精神卫生中心(总部)	上海市精神卫生中心(总部)
上海市青浦区中心医院〓复旦大学附属中山医院青浦分院	上海市青浦区中心医院复旦大学附属中山医院青浦分院
上海市徐汇区徐家汇地段医院	
上海市漕溪北路地段医院	
上海市徐汇区康健街道社区卫生服务中心〓上海市徐汇区康健地段医院	
上海市徐汇区长桥地段医院	
上海海工医院(民营)	
上海市徐汇区天平路地段医院	
上海市徐汇区永嘉路地段医院	
上海市徐汇区田林路地段医院	
上海市徐汇区妇幼保健所	
上海市第三精神病院	
上海宏康医院(民营)	上海宏康医院(民营)
上海普静护理院(民营)	
上海市普陀区精神卫生中心〓上海市普陀区红十字护理医院	
上海市普陀区利群医院	上海市普陀区利群医院
上海市普陀区中医院〓上海市普陀区老年医院	
上海市普陀区人民医院(原:上海纺织第一医院)	上海市普陀区人民医院(原:上海纺织第一医院)
上海市普陀区妇幼保健院	上海市普陀区妇幼保健院
同济大学附属同济医院分院(原:同济大学医院)	
同济大学附属同济医院(原:上海甘泉医院)	同济大学附属同济医院(原:上海甘泉医院)
上海市普陀区中心医院〓上海中医药大学附属普陀医院	上海市普陀区中心医院上海中医药大学附属普陀医院
上海市普陀区曹杨红十字医院	
上海市普陀区白玉街道医院	
上海市普陀区甘泉社区卫生服务中心〓上海市普陀区甘泉地段医院	
上海市普陀区桃浦地段医院	
上海市普陀区长征联合地段医院上海市普陀区长征社区卫生服务中心	
上海市普陀区中山北路街道医院	
上海市杨浦区沪东老年护理院	
上海市大桥街道医院	
复旦大学医学院医疗保健中心	
上海市伤骨科医院(民营)	
上海华都医院(民营)	
上海新光医院(民营)	新光醫院
上海广群医院(民营)	
上海市华康护理院(民营)	
上海市广宁医院(民营)	
上海市杨浦区牙病防治所	
上海市安定医院(民营)	
上海我立德医院(民营)	
上海黄兴医院(民营)	
上海市杨浦区市东医院分院	
上海市杨浦区中心医院中原分部	
上海市东医院	上海市东医院
上海市杨浦区中医院〓上海中医药大学附属岳阳中西医结合医院杨浦分院	
上海市市东医院平凉分院(原:上海市纺织第二医院)	
上海市杨浦区控江医院〓上海市杨浦区控江红十字医院	上海市杨浦区控江医院上海市杨浦区控江红十字医院
上海市杨浦区中心医院安图分部(原:上海市杨浦区安图医院)	上海市杨浦区安图医院
上海市神州中医院(民营)	
上海市第二肺科医院	
上海市杨浦区妇幼保健院	
上海市杨浦区老年医院	
上海市杨浦区精神卫生中心	
上海交通大学医学院附属新华医院	上海交通大学医学院附属新华医院
中国人民解放军第二军医大学第一附属医院上海长海医院	中国人民解放军第二军医大学第一附属医院上海长海医院
中国人民解放军第二军医大学第三附属医院上海东方肝胆外科医院	中国人民解放军第二军医大学第三附属医院上海东方肝胆外科医院
上海市杨浦区中心医院〓上海交通大学医学院附属新华医院分院	
上海杨浦区定海地段医院	
上海市杨浦区延吉地段医院	
上海市四平社区卫生服务中心(原:杨浦区四平地段医院)	
上海市杨浦区江浦地段医院	
上海杨浦区凤城地段医院	
上海市杨浦区平凉路街道医院	
上海市杨浦区殷行地段医院	上海市杨浦区殷行地段医院
上海市杨浦区民星地段医院	
上海市杨浦区五角场地段医院	
上海市松江区乐都医院上海市松江区结核病防治院	
上海市松江区妇幼保健院	上海市松江区妇幼保健院
上海市松江区精神卫生中心	
上海市松江区方塔中医院〓上海中医药大学附属曙光医院松江分院	上海市松江区方塔中医院上海中医药大学附属曙光医院松江分院
上海交通大学医学院附属第一人民医院松江分院上海市松江中心医院	上海交通大学医学院附属第一人民医院松江分院上海市松江中心医院
上海市松江区传染病医院	
上海市松江区泗泾医院	上海市松江区泗泾医院
上海市松江区永丰街道社区卫生服务中心	
上海市松江区岳阳街道社区卫生服务中心	
上海市松江区中山街道社区卫生服务中心	
上海龚路精神病康复医院(民营)	
上海安达医院	上海安达医院
上海浦东慈善医院(民营)	
上海瑞东医院上海瑞金医院浦东分院	
上海市质子重离子医院	
上海时光整形外科医院(民营)	
上海申东医院(民营)	
上海市杨思医院	上海市杨思医院(民营)
复旦大学附属眼耳鼻喉科医院浦东分院	
上海沪东医院(原:沪东中华造船(集团)有限公司职工医院)	
上海市浦东新区老年护理院〓上海市浦东新区结核病防治院	
上海中医药大学附属龙华医院浦东分院(原:上海第三钢铁厂职工医院)	
上海市浦东新区公利医院	上海市浦东新区公利医院
上海市浦东新区浦南医院	上海市浦东新区浦南医院
上海市浦东新区肺科医院〓上海中医药大学附属曙光医院曹路分院	
上海市浦东新区人民医院	上海市浦东新区人民医院
上海市浦东新区中医院	
上海市第二精神病康复院	
上海市浦东新区传染病医院	
上海市南华医院	上海市南华医院
上海市浦东新区光明中医院〓上海市浦东新区眼病防治所	上海市浦东新区光明中医院上海市浦东新区眼病防治所
上海市浦东医院复旦大学附属华山医院南汇分院(原:上海市浦东新区中心医院)	上海市浦东医院复旦大学附属华山医院南汇分院(原:上海市浦东新区中心医院)
上海长航医院(民营)	
上海市浦东新区心理咨询中心〓上海市浦东新区精神卫生中心	
上海交通大学医学院附属第九人民医院周浦分院	
上海市浦东新区妇幼保健院	
上海市浦东新区精神卫生中心	
上海中医药大学附属曙光医院东院	上海中医药大学附属曙光医院东院
上海交通大学医学院附属仁济医院(东院)	上海交通大学医学院附属仁济医院(东院)
上海交通大学医学院附属上海儿童医学中心	上海交通大学医学院附属上海儿童医学中心
上海市第七人民医院上海市浦东中西医结合医院	上海市第七人民医院上海市浦东中西医结合医院
复旦大学附属华山医院东院	复旦大学附属华山医院东院（上海国际医院）
上海市东方医院同济大学附属东方医院	上海市东方医院同济大学附属东方医院
上海市浦东新区周家渡地段医院〓上海市浦东周家渡社区卫生服务中心	
上海市浦东新区上钢地段医院	
上海市浦东新区张家浜地段医院	
上海市浦东新区妇幼保健所	
上海市浦东新区潍坊地段医院〓上海市浦东新区红十字护理医院	
上海市浦东新区塘桥地段医院	
上海市浦东新区六里桥地段医院	
上海市浦东新区梅园地段医院	
上海市浦东新区崂山西路地段医院	
上海市浦东新区杨思地段医院	
上海市浦东新区花木地段医院〓上海市浦东新区花木社区卫生服务中心	
上海市浦东新区沪东地段医院	
上海杨思医院	上海市杨思医院(民营)
上海市劳动卫生职业病防治研究所	
奚九一脉管医院(民营)	
上海市虹口区广中地段医院	
上海阳光中医院(民营)	
上海市海江医院(民营)	
上海朝晖医院(民营)	
上海东华医院(民营)	
上海兰鹰医院(民营)	
上海海虹医院(民营)	
上海复大医院(原:上海海光医院)(民营)	
上海市劳动局中心医院	
上海长江医院(民营)	
复旦大学附属公共卫生中心(原:上海市传染病医院)	复旦大学附属公共卫生中心(原:上海市传染病医院)
上海市江湾医院	上海市江湾医院
上海市海员医院	
上海市第一人民医院分院(原:上海市第四人民医院)	
上海市虹口区精神卫生中心	
上海市曲阳医院(民营)	上海市曲阳医院(民营)
上海市虹口区妇幼保健院(民营)	
上海建工医院	上海建工医院
上海航道医院	
中国人民解放军第四一一医院	中国人民解放军第四一一医院
上海中医药大学附属岳阳中西医结合医院	上海中医药大学附属岳阳中西医结合医院
上海交通大学医学院附属第一人民医院上海市第一人民医院	上海交通大学医学院附属第一人民医院上海市第一人民医院
上海市中西医结合医院	上海市中西医结合医院
上海太平洋口腔医院(民营)	
上海市虹口区提篮桥地段医院	
上海市赤峰医院(民营)	赤峰市医院
上海市虹口区嘉兴地段医院	
上海市虹口区凉城地段医院	
上海市虹口区新港路地段医院	
上海市虹口区乍浦路地段医院	
上海市虹口区欧阳地段医院	
上海化学工业区医疗中心	
上海市金山区眼病防治所	
上海市金山区中西医结合医院	
上海市金山区东林医院上海市金山区红十字护理医院	
上海市金山区精神卫生中心	
上海市金山区亭林医院上海市金山区亭林镇社区卫生服务中心	上海市金山区亭林医院上海市金山区亭林镇社区卫生服务中心
上海交通大学医学院附属第六人民医院金山分院〓上海市金山区中心医院〓上海市金山区中医院	金山区中心医院(第六人民医院金山分院)
上海市公共卫生临床中心复旦大学附属公共卫生临床中心复旦大学附属中山医院南院	
复旦大学附属金山医院	复旦大学附属金山医院
上海市金山区石化地段医院上海市金山区牙病防治所	
上海市金山区朱泾地区地段医院	
上海市金山区妇幼保健所	
上海新虹桥医院(民营)	
上海爱尔眼科医院(民营)	
上海市长宁区精神卫生中心〓上海痴呆老年医院	
上海和睦家医院(中外合资)	
上海神州中医院(民营)	
复旦大学附属中山医院分部·中山医院肿瘤中心(原:上海纺织第三医院)	
上海真爱女子医院(民营)	
上海辰新医院(民营)	
上海南亚医院(民营)	
上海白玉兰妇科医院(台资)	
上海市长宁区周家桥地段医院〓上海市长宁区周家桥社区卫生服务中心	
上海长宁南洋医院(民营)	
上海天大医疗美容医院(民营)	
上海奥美口腔门诊部(民营)	
上海市东方乳腺疾病医院上海华山医院分部	
上海市长宁区天山中医院	上海市长宁区天山中医院
上海市长宁区妇幼保健院	上海市长宁区妇幼保健院
上海市长宁区中心医院〓上海市长宁区红十字医院	
上海电力医院	
上海交通大学医学院附属同仁医院上海市同仁医院	
上海港医院	
上海民航医院	
中国人民解放军第四五五医院分院	
中国人民武装警察部队上海总队医院	
中国人民解放军第八十五医院	中国人民解放军第八十五医院
中国人民解放军第四五五医院	
上海市皮肤病性病防治中心〓上海市皮肤病性病医院	
上海华山东方乳房专科医院(原:上海房屋管理局职工医院)	
上海市长宁区仙霞地段医院〓上海市长宁区仙霞街道社区卫生服务中心	
上海市长宁区新华地段医院〓上海市长宁区新华社区卫生服务中心	
上海市长宁区华阳地段医院〓上海市长宁区华阳社区卫生服务中心	
上海市长宁区新泾社区卫生服务中心	
上海市长宁区武夷地段医院〓上海市长宁区江苏街道社区卫生服务中心	
上海市长宁区北新泾地段医院〓上海市长宁区北新泾社区卫生服务中心	
上海市长宁区程家桥地段医院〓上海市长宁区程家桥街道社区卫生服务中心〓上海市长宁区红十字老年护理院	
上海市江南造船厂职工医院	
上海市长宁区遵义地段医院〓上海市长宁区遵义社区卫生服务中心	
上海市闵行区结核病防治院	
上海虹桥医院(民营)	
上海精神卫生康复医院二部	
上海市金秋护理院(民营)	
上海古美医院	
上海莱茵医院(民营)	
上海市老来福护理院(民营)	
上海市军民护理院(民营)	
上海市青春精神病康复医院(民营)	
上海市紫兴精神病康复医院(民营)	
上海精神卫生康复医院一部	
上海市闵行区南亚医院(民营)	
上海市闵行区中医院	上海市闵行区中医院
上海第一精神病康复院(民营)	
上海市闵行区中心医院〓上海市瑞金集团闵行医院	上海市闵行区中心医院上海市瑞金集团闵行医院
上海市闵行区传染病医院	
上海市闵行区吴泾医院	
上海市闵行区精神卫生中心	
上海市精神卫生中心分部	
复旦大学附属上海市第五人民医院	复旦大学附属上海市第五人民医院
上海市吴中精神病康复医院	
上海市闵行区妇幼保健院	
上海市闵行区航华门诊部	
上海市闵行区华坪地段医院	
闵行区中西医结合医院	
中心医院	
上海市第五人民医院	复旦大学附属上海市第五人民医院
上海市青浦区宝林地段医院	
上海市青浦区顺昌路地段医院	
上海市青浦区金杨地段医院	
上海市青浦区宜川地段医院	
上海玛丽医院(民营)	
上海仁博医院(民营)	
上海同德医院(民营)	
上海青城医院(民营)	
上海市青浦区中医院	上海市青浦区中医院
上海市青浦区朱家角人民医院上海市青浦区老年医院	
上海市青浦区华新镇社区卫生服务中心	
上海市青浦区金泽镇社区卫生服务中心	
上海市青浦区妇幼保健所	
上海市青浦区朱家角镇社区卫生服务中心	
上海市青浦区白鹤镇社区卫生服务中心	
上海市青浦区香花桥街道社区卫生服务中心	
上海市青浦区徐泾镇社区卫生服务中心上海市青浦区徐泾镇老年护理院	
上海市青浦区盈浦街道社区卫生服务中心	
上海市青浦区赵巷镇社区卫生服务中心上海市青浦区红十字会护理医院	
上海市青浦区重固社区卫生服务中心	
上海市青浦区精神卫生中心	
上海市静安区牙病防治所	
上海市南京西路地段医院〓上海市静安区南京西路街道社区卫生服务中心	
上海市化工职业病防治院上海市职业安全健康研究院	
上海复安口腔门诊部(民营)	
上海西典口腔门诊部(民营)	
上海成北门诊部(民营)	
上海富华医疗美容医院(民营)	
上海万豪医院(中外合资)	
上海瑞美医疗保健中心(民营)	
上海海鹰医院(民营)	
上海新海医院(民营)	
上海市闸北牙病防治所	
上海彭江医院(民营)	
上海健桥医院(民营)	
上海市闸北天目西路街道社区卫生服务中心	
上海国宾医疗中心(民营)	
上海康奥医疗美容医院(民营)	
上海康新医院(民营)	
上海民康医院(民营)	
上海瑞新医疗中心(民营)	
上海戴是凯康复医学门诊部(民营)	
上海全康医疗中心(民营)	
上海韩城医学美容医院(民营)	
上海金康中医门诊部(民营)	
上海中日合资厚诚口腔医院(民营)	
上海育宝医院(民营)	
上海市市北医院	
上海市闸北精神卫生中心	
上海市闸北妇幼保健所	
上海市静安区老年医院	
上海公用事业职工医院上海市公惠医院	
上海市闸北中医院〓上海市中医院闸北分院	
上海邮电医院	上海邮电医院
上海长征医院闸北分院(原:上海市闸北区中心医院)	
上海市静安区中心医院	上海市静安区中心医院
上海市静安区精神卫生中心	
上海市北站医院	上海市北站医院
上海市静安区妇幼保健所	
上海市儿童医院上海交通大学医学院附属儿童医院	上海市儿童医院上海交通大学医学院附属儿童医院
上海市眼科医院〓上海市眼病中心防治所	
复旦附属大学华东医院上海华东医院	复旦大学附属华东医院上海华东医院
上海市第十人民医院同济大学附属第十人民医院(原:上海铁路局中心医院)	上海市第十人民医院同济大学附属第十人民医院(原:上海铁路局中心医院)
同济大学附属口腔医院	
上海市中医院	上海市中医院
上海市第一妇婴保健院同济大学附属第一妇婴保健院	上海市第一妇婴保健院同济大学附属第一妇婴保健院
上海市静安区曹家渡地段医院〓上海市静安区曹家渡街道社区卫生服务中心	
上海市闸北海宁医院〓上海市闸北区北站社区卫生服务中心	
复旦大学附属华山医院永和分院(原:上海市闸北区彭浦永和地段医院)	
上海市静安区江宁路地段医院〓上海市静安区江宁路街道社区卫生服务中心	
上海市闸北临汾社区卫生服务中心	
上海市闸北万荣地段医院〓上海市闸北区彭浦镇社区卫生服务中心	
上海市彭浦镇社区卫生服务中心(原:上海市闸北区彭浦地段医院)	
上海市共和新社区卫生服务中心(原:上海市闸北区共和新地段医院)	
上海市静安区石门二路地段医院〓上海市静安区石门二路社区卫生服务中心	
上海市闸北宝山社区卫生服务中心(原:上海市闸北区青云街道医院)	
上海市静安区静安寺地段医院〓上海市静安区静安寺街道社区卫生服务中心	
上海市闸北大宁社区卫生服务中心	
上海市闸北芷江西社区卫生服务中心(原:上海市闸北区烽火街道医院)	
上海市黄浦区眼病防治所	
上海市华仁医院(民营)	
上海口腔医疗中心	
上海市红光医院	
上海市黄浦区传染病医院	
上海市第二人民医院	上海市第二人民医院
上海市黄浦区中西医结合医院	
上海市黄博区中心医院分部(原:上海市黄浦区中医院)	
上海市黄浦区中心医院	
上海市松江区九亭医院上海市第二人民医院九亭分院	上海市松江区九亭医院上海市第二人民医院九亭分院
上海市黄浦区精神卫生中心	
上海市口腔病防治院	
中国人民解放军第二军医大学第二附属医院上海长征医院	中国人民解放军第二军医大学第二附属医院上海长征医院
上海中医药大学附属曙光医院	
